40308,542.5,303.4,366.8,129,100,100,100,100
40309,542.5,294,369,123.799,100.5997819,95.96821705,96.90177983,100
40310,540,296.2,376.3,122.5,102.5899673,94.96124031,97.62689519,99.53917051
40311,540,296,377,123.699,102.780807,95.89069767,97.56097561,99.53917051
40312,537.5,286.5,367.1,122.999,100.0817884,95.34806202,94.42979565,99.07834101
40315,537.5,288.6,373.5,121.899,101.8266085,94.49534884,95.12195122,99.07834101
40316,537.5,300.1,386,115.2,105.2344602,89.30232558,98.91232696,99.07834101
40317,534,298,376,116.199,102.5081788,90.07674419,98.22017139,98.43317972
40318,531.5,300,375.9,111.1,102.480916,86.12403101,98.87936717,97.97235023
40319,531.5,297,371.7,107.5,101.3358779,83.33333333,97.8905735,97.97235023
40322,531.5,300.7,373.6,109.599,101.8538713,84.96046512,99.1100857,97.97235023
40323,531.5,286,355,103.099,96.782988,79.92170543,94.2649967,97.97235023
40324,531.5,290.5,361.8,101.199,98.63685932,78.44883721,95.74818721,97.97235023
40325,530.5,304.5,379.6,108.099,103.4896401,83.79767442,100.3625577,97.78801843
40326,526,307.7,373.9,104.8,101.9356598,81.24031008,101.4172709,96.95852535
40329,526,307.7,373.9,104.8,101.9356598,81.24031008,101.4172709,96.95852535
40330,522.5,313.1,380,104.4,103.5986914,80.93023256,103.1970995,96.31336406
40331,519,310,378.7,103.5,103.2442748,80.23255814,102.1753461,95.66820276
40332,519,313.3,380.5,105.6,103.7350055,81.86046512,103.2630191,95.66820276
40333,519,297.5,365,102.9,99.50926936,79.76744186,98.05537245,95.66820276
40336,517.5,291,357.2,100.199,97.3827699,77.67364341,95.91298616,95.39170507
40337,514,280.5,353.5,102,96.3740458,79.06976744,92.45220831,94.74654378
40338,512.5,285.6,352.7,103.8,96.15594329,80.46511628,94.13315755,94.47004608
40339,512.5,289.8,359.6,105.899,98.03707743,82.09224806,95.51746869,94.47004608
40340,511.5,288,357.5,107.999,97.46455834,83.72015504,94.92419249,94.28571429
40343,511.5,293.7,358.5,104.8,97.73718648,81.24031008,96.80290046,94.28571429
40344,511.5,296.8,367.9,106.099,100.2998909,82.24728682,97.82465392,94.28571429
40345,508.5,296.4,364.5,109.999,99.37295529,85.27054264,97.69281477,93.73271889
40346,506.5,294.5,364.7,106.999,99.42748092,82.94496124,97.06657877,93.3640553
40347,505,293.9,362.5,105.999,98.82769902,82.16976744,96.86882004,93.0875576
40350,503.5,296,370.5,105.899,101.0087241,82.09224806,97.56097561,92.81105991
40351,501,297.8,372,105.999,101.4176663,82.16976744,98.15425181,92.35023041
40352,501,294.4,371,105.899,101.1450382,82.09224806,97.03361898,92.35023041
40353,501,289.2,364.8,104.099,99.45474373,80.69689922,95.31970995,92.35023041
40354,499.5,291.1,368.9,105.3,100.5725191,81.62790698,95.94594595,92.07373272
40357,499.5,293.7,369.5,106.3,100.736096,82.40310078,96.80290046,92.07373272
40358,499.5,290.7,362.1,105.3,98.71864776,81.62790698,95.81410679,92.07373272
40359,497.5,290.9,360,108.5,98.14612868,84.10852713,95.88002637,91.70506912
40360,497.5,282.7,349.3,107.999,95.22900763,83.72015504,93.17732367,91.70506912
40361,497.5,283,351,108.899,95.69247546,84.41782946,93.27620303,91.70506912
40364,497.5,281,354.5,106.799,96.64667394,82.78992248,92.61700725,91.70506912
40365,497.5,282.9,359.4,107.5,97.9825518,83.33333333,93.24324324,91.70506912
40366,496.5,289,371,108.899,101.1450382,84.41782946,95.25379038,91.52073733
40367,496.5,300.3,383.3,109.999,104.4983642,85.27054264,98.97824654,91.52073733
40368,496.5,300,379.5,109.2,103.4623773,84.65116279,98.87936717,91.52073733
40371,496.5,300,385.1,108.899,104.9890949,84.41782946,98.87936717,91.52073733
40372,496.5,307,388,108.5,105.7797165,84.10852713,101.1865524,91.52073733
40373,496.5,303,389.3,107.899,106.134133,83.64263566,99.86816084,91.52073733
40374,497,300,389.2,109.999,106.1068702,85.27054264,98.87936717,91.61290323
40375,497,298,384.5,112.2,104.825518,86.97674419,98.22017139,91.61290323
